Filename,GenomeCode,Domain,Well,Year,Project
GLC_25GOWN_BACT-20-GW162_20251021,P20,BACT,GW162,2024,GOWN
GLC_25GOWN_BACT-21-GW983_20251021,P21,BACT,GW983,2024,GOWN
GLC_25GOWN_BACT-22-GW200_20251021,P22,BACT,GW200,2024,GOWN
GLC_25GOWN_BACT-23-GW949_20251021,P23,BACT,GW949,2024,GOWN
GLC_25GOWN_BACT-24-GW247_20251021,P24,BACT,GW247,2024,GOWN
GLC_25GOWN_BACT-25-GW242_20251021,P25,BACT,GW242,2024,GOWN
GLC_25GOWN_BACT-26-GW992_20251021,P26,BACT,GW992,2024,GOWN
GLC_25GOWN_BACT-27-GW1153_20251021,P27,BACT,GW1153,2024,GOWN
GLC_25GOWN_BACT-28-GW1143_20251021,P28,BACT,GW1143,2024,GOWN
GLC_25GOWN_BACT-29-GW243_20251021,P29,BACT,GW243,2024,GOWN
GLC_25GOWN_BACT-30-GW945_20251021,P30,BACT,GW945,2024,GOWN
GLC_25GOWN_BACT-31-GW244_20251021,P31,BACT,GW244,2024,GOWN
GLC_25GOWN_BACT-32-GW1144_20251021,P32,BACT,GW1144,2024,GOWN
GLC_25GOWN_BACT-33-GW246_20251021,P33,BACT,GW246,2024,GOWN
GLC_25GOWN_BACT-34-GW950_20251021,P34,BACT,GW950,2024,GOWN
GLC_25GOWN_BACT-35-GW991_20251021,P35,BACT,GW991,2024,GOWN
GLC_25GOWN_BACT-36-GW1151_20251021,P36,BACT,GW1151,2024,GOWN
GLC_25GOWN_BACT-37-GW313_20251021,P37,BACT,GW313,2024,GOWN
GLC_25GOWN_BACT-38-GW3010_20251021,P38,BACT,GW3010,2024,GOWN
GLC_25GOWN_BACT-39-GW1150_20251021,P39,BACT,GW1150,2024,GOWN
GLC_25GOWN_BACT-40-GW312_20251021,P40,BACT,GW312,2024,GOWN
GLC_25GOWN_BACT-41-GW248_20251021,P41,BACT,GW248,2024,GOWN
GLC_25GOWN_BACT-42a-GW50_20251021,P42a,BACT,GW50,2024,GOWN
GLC_25GOWN_BACT-42b-GW50_20251021,P42b,BACT,GW50,2024,GOWN
GLC_25GOWN_BACT-42c-GW50_20251021,P42c,BACT,GW50,2024,GOWN
GLC_25GOWN_BACT-43-GW44_20251021,P43,BACT,GW44,2024,GOWN
GLC_25GOWN_BACT-44-GW387_20251021,P44,BACT,GW387,2024,GOWN
GLC_25GOWN_BACT-45-GW3098_20251021,P45,BACT,GW3098,2024,GOWN
GLC_25GOWN_BACT-46-GW281_20251021,P46,BACT,GW281,2024,GOWN
GLC_25GOWN_BACT-47-GW369_20251021,P47,BACT,GW369,2024,GOWN
GLC_25GOWN_BACT-48-GW275_20251021,P48,BACT,GW275,2024,GOWN
GLC_25GOWN_BACT-49-GW239_20251021,P49,BACT,GW239,2024,GOWN
